timestamp,operator,ue,tech,imsi,guti
2026-03-20T14:24:02.833406+00:00,Operator A,Concealed_5g,5g,ANON_5G_CON_IMSI_A0_03695121b312ec5340c3764e0c2be76bb096154a68194f20b8864f50aabb2434839016a7b5f20f4ee223036c2244,3593815887
2026-03-20T14:29:19.604504+00:00,Operator A,Concealed_5g,5g,ANON_5G_CON_IMSI_A0_039e3af8d12336aeb059dae239f46ce1eaf7232631c8f708411b3299dc0317017a8ef63e4281cebd5480760f1204,3594340206
2026-03-20T14:29:29.884462+00:00,Operator A,Concealed_5g,5g,ANON_5G_CON_IMSI_A0_039e3af8d12336aeb059dae239f46ce1eaf7232631c8f708411b3299dc0317017a8ef63e4281cebd5480760f1204,3594340206
2026-03-20T14:40:14.842670+00:00,Operator A,Concealed_5g,5g,ANON_5G_CON_IMSI_A0_03b3adf52764637f25b08a0ab00f64a246d4fa566341cc9b61326bdc2170635c40c74b91697137b983c0eaad8dcf,3594733413
2026-03-20T14:40:25.062634+00:00,Operator A,Concealed_5g,5g,ANON_5G_CON_IMSI_A0_03b3adf52764637f25b08a0ab00f64a246d4fa566341cc9b61326bdc2170635c40c74b91697137b983c0eaad8dcf,3594733413
2026-03-20T14:45:20.588961+00:00,Operator A,Concealed_5g,5g,ANON_5G_CON_IMSI_A0_03b773764e7ed0c40621f472fef7cb10d0322f6bfcadc2b12f963b3e916a47b0c7eb0a6add4b1c7e0998c6501b4b,3594864632
2026-03-20T14:45:30.808919+00:00,Operator A,Concealed_5g,5g,ANON_5G_CON_IMSI_A0_03b773764e7ed0c40621f472fef7cb10d0322f6bfcadc2b12f963b3e916a47b0c7eb0a6add4b1c7e0998c6501b4b,3594864632
2026-03-20T14:45:41.008858+00:00,Operator A,Concealed_5g,5g,ANON_5G_CON_IMSI_A0_03b773764e7ed0c40621f472fef7cb10d0322f6bfcadc2b12f963b3e916a47b0c7eb0a6add4b1c7e0998c6501b4b,3594864632
2026-03-20T14:45:51.213854+00:00,Operator A,Concealed_5g,5g,ANON_5G_CON_IMSI_A0_03b773764e7ed0c40621f472fef7cb10d0322f6bfcadc2b12f963b3e916a47b0c7eb0a6add4b1c7e0998c6501b4b,3594864632
2026-03-20T14:47:40.513116+00:00,Operator A,S23,4g,ANON_IMSI_A2,3643492163
2026-03-20T14:48:05.515118+00:00,Operator A,S23,4g,ANON_IMSI_A2,3643492163
2026-03-20T14:53:14.572284+00:00,Operator A,S23,4g,ANON_IMSI_A2,3643557826
2026-03-20T14:53:31.176145+00:00,Operator A,S23,4g,ANON_IMSI_A2,3643557826
2026-03-20T15:07:19.785384+00:00,Operator A,Concealed_5g,5g,ANON_5G_CON_IMSI_A0_039e52be533c76dae1db1f3398fc6f8ad3240df2961c3eda4f9363396106eb16fde02e2370962dc435f5bb77db41,3595782118
2026-03-20T15:07:29.985367+00:00,Operator A,Concealed_5g,5g,ANON_5G_CON_IMSI_A0_039e52be533c76dae1db1f3398fc6f8ad3240df2961c3eda4f9363396106eb16fde02e2370962dc435f5bb77db41,3595782118
2026-03-20T15:07:40.165298+00:00,Operator A,Concealed_5g,5g,ANON_5G_CON_IMSI_A0_039e52be533c76dae1db1f3398fc6f8ad3240df2961c3eda4f9363396106eb16fde02e2370962dc435f5bb77db41,3595782118
2026-03-20T15:07:50.370312+00:00,Operator A,Concealed_5g,5g,ANON_5G_CON_IMSI_A0_039e52be533c76dae1db1f3398fc6f8ad3240df2961c3eda4f9363396106eb16fde02e2370962dc435f5bb77db41,3595782118
2026-03-20T15:15:34.092437+00:00,Operator A,S23,4g,ANON_IMSI_A2,3644344141
2026-03-20T15:34:51.595778+00:00,Operator A,Concealed_5g,5g,ANON_5G_CON_IMSI_A0_03afa45e4edb6d524e5584cdaec00dd4e7d1f16e0b4b92e12464fa52eb5f8f89cafa5b3dcdc1155cfee3746aab3f,3597158363
2026-03-20T15:35:01.815689+00:00,Operator A,Concealed_5g,5g,ANON_5G_CON_IMSI_A0_03afa45e4edb6d524e5584cdaec00dd4e7d1f16e0b4b92e12464fa52eb5f8f89cafa5b3dcdc1155cfee3746aab3f,3597158363
2026-03-20T15:35:12.015822+00:00,Operator A,Concealed_5g,5g,ANON_5G_CON_IMSI_A0_03afa45e4edb6d524e5584cdaec00dd4e7d1f16e0b4b92e12464fa52eb5f8f89cafa5b3dcdc1155cfee3746aab3f,3597158363
